code word doc_freq count
1301 energy 5 9
1547 foreign 5 9
1816 help 5 9
2311 league 5 9
2779 northern 5 9
2865 operation 5 9
2921 own 5 9
3254 radio 5 9
3563 section 5 9
332 award 5 8
462 black 5 8
580 c 5 8
1440 fast 5 8
1588 front 5 8
2654 mountain 5 8
2668 mszp 5 8
3070 point 5 8
3123 preliminary 5 8
3461 royal 5 8
3642 short 5 8
3652 side 5 8
4102 traditional 5 8
57 add 5 7
294 association 5 7
1098 different 5 7
2564 meter 5 7
2645 mother 5 7
3171 professional 5 7
3316 refer 5 7
4191 union 5 7
321 austria 5 6
344 background 5 6
367 bangkok 5 6
796 commander 5 6
801 commission 5 6
836 concern 5 6
931 cover 5 6
1004 daughter 5 6
1397 expect 5 6
1398 experience 5 6
1451 feature 5 6
1473 fidesz 5 6
1530 focus 5 6
1618 game 5 6
1978 indian 5 6
2021 institute 5 6
2313 least 5 6
2492 mark 5 6
2493 market 5 6
3062 plant 5 6
3095 position 5 6
3862 study 5 6
4341 west 5 6
13 abolish 5 5
1048 democratic 5 5
1739 ground 5 5
1887 hour 5 5
1977 india 5 5
1987 industry 5 5
2079 iron 5 5
2204 khwaeng 5 5
2325 legislature 5 5
2382 locality 5 5
2525 mdf 5 5
2828 off 5 5
3077 political 5 5
3583 send 5 5
3817 states 5 5
3868 subdistrict 5 5
3900 summer 5 5
4014 thailand 5 5
4050 throughout 5 5
4234 value 5 5
3555 season 4 42
967 cup 4 39
594 camp 4 18
1823 her 4 18
3475 run 4 17
4224 v 4 17
2684 museum 4 16
1308 english 4 15
991 danish 4 14
1241 effect 4 14
2096 issue 4 13
2257 la 4 13
4030 these 4 13
1052 denmark 4 12
1882 hospital 4 12
4322 water 4 12
1429 fall 4 11
1821 henry 4 11
2588 million 4 11
3421 right 4 11
3654 sign 4 11
3991 television 4 11
4332 week 4 11
986 damage 4 10
2832 official 4 10
3198 provide 4 10
3274 rate 4 10
15 above 4 9
597 can 4 9
2347 lieutenant 4 9
3018 person 4 9
3066 player 4 9
118 air 4 8
198 andrew 4 8
271 article 4 8
1085 determine 4 8
1581 french 4 8
1662 germany 4 8
2019 instead 4 8
2193 keep 4 8
3074 policy 4 8
3184 promote 4 8
3711 so 4 8
4387 without 4 8
749 club 4 7
819 competition 4 7
1089 development 4 7
1436 far 4 7
2154 jose 4 7
2819 occur 4 7
3060 plan 4 7
3647 show 4 7
3717 society 4 7
3833 still 4 7
4159 u 4 7
117 aim 4 6
